Time,State,Repeat,Weight,Angle,Current
12:39.9,Stop,0,-390.46,179.75,123.74
12:40.0,Ready,0,-388.49,179.78,112.98
12:40.1,Ready,0,-386.32,179.78,121.05
12:40.3,Ready,0,-404.49,179.75,121.05
12:40.4,Ready,0,-436.18,179.78,115.67
12:40.5,Ready,0,-428.42,179.78,115.67
12:40.6,Ready,0,-438.95,179.78,121.05
12:40.7,Ready,0,-373.84,179.78,118.36
12:40.8,Ready,0,-385.73,179.78,121.05
12:40.9,Ready,0,-395.56,179.78,118.36
12:41.1,Ready,0,-399.05,179.78,121.05
12:41.2,Ready,0,-401.96,179.78,118.36
12:41.3,Ready,0,-405.55,179.78,131.81
12:41.4,Ready,0,-399.41,179.78,118.36
12:41.6,Ready,0,-396.61,179.78,123.74
12:41.7,Ready,0,-396.86,179.75,115.67
12:41.8,Ready,0,-398.44,179.78,118.36
12:41.9,Ready,0,-396.97,179.78,123.74
12:42.0,Ready,0,-394.75,179.75,112.98
12:42.2,Ready,0,-389.81,179.78,115.67
12:42.3,Ready,0,-388.85,179.75,115.67
12:42.4,Ready,0,-387.9,179.75,118.36
12:42.5,Ready,0,-387.94,179.78,118.36
12:42.6,Ready,0,-388.48,179.78,121.05
12:42.8,Ready,0,-387.52,179.78,137.19
12:42.9,Ready,0,-386.71,179.78,131.81
12:43.0,Ready,0,-384.91,179.78,118.36
12:43.1,Ready,0,-384.01,179.78,118.36
12:43.2,Ready,0,-382.53,179.78,112.98
12:43.3,Ready,0,-382.16,179.78,131.81
12:43.5,Ready,0,-383.08,179.78,112.98
12:43.6,Flexion,1,-386.04,179.75,-190.99
12:43.7,Flexion,1,-384.73,176.73,-26.9
12:43.8,Flexion,1,-305.65,173.37,-69.94
12:44.0,Flexion,1,-227.83,170.11,-153.33
12:44.1,Flexion,1,-173.39,166.86,-260.93
12:44.2,Flexion,1,-97.9,163.61,-145.26
12:44.3,Flexion,1,-68.3,160.33,-126.43
12:44.4,Flexion,1,-48.65,157.02,-102.22
12:44.6,Flexion,1,-61.54,153.77,-677.88
12:44.7,Flexion,1,-65.1,150.46,-234.03
12:44.8,Flexion,1,-70.81,147.14,-572.97
12:44.9,Flexion,1,-94.89,143.83,-250.17
12:45.0,Flexion,1,-96.02,140.52,-102.22
12:45.2,Flexion,1,-104.05,137.18,-260.93
12:45.3,Flexion,1,-100.46,133.9,-67.25
12:45.4,Flexion,1,-108.9,130.59,-260.93
12:45.5,Flexion,1,-107.45,127.22,-75.32
12:45.6,Flexion,1,-104.8,123.91,-131.81
12:45.8,Flexion,1,-107.09,120.63,-51.11
12:45.9,Flexion,1,-86.76,117.35,-99.53
12:46.0,Flexion,1,-65.33,114.07,-121.05
12:46.1,Flexion,1,-61.17,110.7,-123.74
12:46.2,Flexion,1,-117.09,107.51,-147.95
12:46.4,Flexion,1,-113.42,104.22,-110.29
12:46.5,Flexion,1,-100.29,100.94,-497.65
12:46.6,Flexion,1,-56.86,97.69,-96.84
12:46.7,Flexion,1,-23.04,94.47,-182.92
12:46.8,Flexion,1,-8.98,91.25,-225.96
12:47.0,Flexion,1,26.84,87.99,-177.54
12:47.1,Flexion,1,66.85,84.74,-215.2
12:47.2,Flexion,1,104.73,81.55,-255.55
12:47.3,Flexion,1,205.1,78.27,-263.62
12:47.4,Flexion,1,242.45,75.02,-306.66
12:47.6,Flexion,1,282.09,71.73,-395.43
12:47.7,Flexion,1,375.9,68.51,-508.41
12:47.8,Flexion,1,433.06,65.26,-400.81
12:47.9,Flexion,1,503.41,64.32,-182.92
12:48.0,Flexion,1,514.68,64.29,-166.78
12:48.2,Flexion,1,442.96,64.29,-182.92
12:48.3,Flexion,1,409.9,64.29,-177.54
12:48.4,Flexion,1,405.63,64.32,-169.47
12:48.5,Flexion,1,400.74,64.29,-169.47
12:48.6,Flexion,1,399.35,64.32,-172.16
12:48.8,Flexion,1,396.94,64.32,-164.09
12:48.9,Flexion,1,396.23,64.32,-180.23
12:49.0,Flexion,1,400.3,64.29,-172.16
12:49.1,Flexion,1,400.84,64.29,-180.23
12:49.2,Flexion,1,395.42,64.32,-182.92
12:49.3,Flexion,1,355.4,64.32,-188.3
12:49.5,Flexion,1,347.91,64.29,-182.92
12:49.6,Extension,1,351.63,64.32,720.92
12:49.7,Extension,1,363.56,67.19,-570.28
12:49.8,Extension,1,282.87,70.53,48.42
12:50.0,Extension,1,105.75,73.81,-704.78
12:50.1,Extension,1,-24.9,77.07,-10.76
12:50.2,Extension,1,-64.08,80.29,209.82
12:50.3,Extension,1,-133.54,83.54,228.65
12:50.4,Extension,1,-271.41,86.73,285.14
12:50.5,Extension,1,-329.38,90.02,371.22
12:50.7,Extension,1,-408.54,93.27,131.81
12:50.8,Extension,1,-424.56,96.58,301.28
12:50.9,Extension,1,-423.94,99.83,500.34
12:51.1,Extension,1,-411.03,103.05,739.75
12:51.2,Extension,1,-420.38,106.36,-112.98
