,State,Angle,Range_0,Range_1,New_Range_0,New_Range_1
0,Flexion,170,-1.796539698,-1.342017142,-2.001806253,-0.722401688
1,Flexion,167,-3.120823407,-2.562328258,-3.326089962,-2.562328258
2,Flexion,166,-3.155707855,-1.433905105,-3.155707855,-0.791989171
3,Flexion,164,-3.163859755,-3.075421278,-3.303730464,-2.423333808
4,Flexion,163,-2.849992017,-1.523802924,-3.536879009,-0.897750925
5,Flexion,160,-3.711442686,-1.666631224,-3.711442686,-1.064059136
6,Flexion,157,-3.744540387,-1.250802451,-3.744540387,-0.690133194
7,Flexion,156,-4.559048407,-2.231173073,-4.764314962,-1.656270152
8,Flexion,154,-2.890561153,-2.6875957,-3.60259166,-2.195798363
9,Flexion,153,-3.565562308,-1.926325217,-3.847502218,-1.312636464
10,Flexion,151,-4.107132593,-3.213438086,-4.519390104,-2.561350616
11,Flexion,150,-4.411409604,-2.039710607,-4.432376825,-1.41487119
12,Flexion,147,-3.536411684,-2.154965031,-4.04701618,-1.521135684
13,Flexion,146,-3.322052684,-2.736727434,-3.744489721,-2.736727434
14,Flexion,144,-3.011139137,-1.702940941,-3.731998543,-0.910753564
15,Flexion,143,-3.572337992,-2.409021909,-4.297464489,-1.797980634
16,Flexion,141,-3.969711666,-2.539599711,-4.362399032,-1.838626373
17,Flexion,140,-4.152481359,-2.397111889,-4.435296,-1.754102149
18,Flexion,138,-3.926346358,-1.881594353,-4.582412574,-1.229506883
19,Flexion,137,-4.578402365,-2.517123632,-5.077386369,-1.882674828
20,Flexion,136,-4.213688542,-3.448498721,-4.854588188,-3.448498721
21,Flexion,134,-4.575204207,-2.108734324,-4.922346985,-1.600941841
22,Flexion,133,-4.02000343,-2.994968263,-4.084500199,-2.384750323
23,Flexion,131,-4.375427421,-2.004343043,-4.985192307,-0.886468826
24,Flexion,130,-4.199801114,-2.767496773,-4.472964348,-2.084147756
25,Flexion,128,-4.175684782,-2.037289911,-4.603756644,-0.874525177
26,Flexion,127,-4.49360802,-2.798375153,-5.321597188,-2.104428225
27,Flexion,126,-3.96336,-4.513441597,-4.11732655,-3.861354127
28,Flexion,124,-4.282639173,-2.310469164,-4.956837764,-1.639063647
29,Flexion,123,-4.063847639,-3.545992081,-4.281311332,-2.988646628
30,Flexion,121,-4.924932529,-2.641045558,-5.491026921,-1.377227373
31,Flexion,120,-4.704472618,-2.911187435,-5.47050937,-2.197323681
32,Flexion,118,-4.552618168,-2.18816312,-5.026872866,-1.311598937
33,Flexion,117,-4.293058392,-2.970585721,-4.930451894,-2.245268122
34,Flexion,115,-4.347719703,-1.796737329,-4.701583753,-1.144649859
35,Flexion,114,-4.337689107,-2.7641277,-4.729236127,-2.029766172
36,Flexion,113,-4.661367879,-3.925215794,-5.328151369,-3.471374862
37,Flexion,111,-4.284502974,-2.343246307,-4.778353467,-1.593579683
38,Flexion,110,-4.791668196,-3.16820164,-5.557616088,-2.43049307
39,Flexion,108,-4.383011038,-2.239535694,-4.745215723,-1.351362545
