,Unnamed: 0,State,Angle,Range_0,Range_1,New_Range_0,New_Range_1,Filtered_New_Range_0,Filtered_New_Range_1,Angle_int,Motion
0,0,Flexion,170,-1.796539698,-1.342017142,-2.001806253,-0.722401688194525,-2.001729963026659,-0.7221562265326824,170,4.31
1,1,Flexion,167,-3.120823407,-2.562328258,-3.326089962,-2.562328258,-2.846335660802527,-1.5775530537593851,167,5.603
2,2,Flexion,166,-3.155707855,-1.433905105,-3.155707855,-0.7919891711231158,-3.2853641818099493,-2.002280425031965,166,6.034
3,3,Flexion,164,-3.163859755,-3.075421278,-3.303730464,-3.075421278,-3.4083033290546876,-1.913169933513196,164,6.896
4,4,Flexion,163,-2.849992017,-1.523802924,-3.536879009,-0.8977509252098587,-3.512776116999369,-1.4443845154292596,163,7.327
5,5,Flexion,160,-3.711442686,-1.666631224,-3.711442686,-1.064059135862691,-3.7319070949917688,-1.005658266654618,160,8.62
6,6,Flexion,157,-3.744540387,-1.250802451,-3.744540387,-0.6901331936850243,-3.994092481915138,-1.023270582577564,157,9.913
7,7,Flexion,156,-4.559048407,-2.231173073,-4.764314962,-1.6562701520371,-4.098596121557007,-1.4280268526601128,156,10.344
8,8,Flexion,154,-2.890561153,-2.6875957,-3.60259166,-2.1957983625331425,-4.033338498021418,-1.8557099530380794,154,11.206
9,9,Flexion,153,-3.565562308,-1.926325217,-3.847502218,-1.3126364639983068,-4.072567556501943,-2.122147359926975,153,11.637
10,10,Flexion,151,-4.107132593,-3.213438086,-4.519390104,-3.213438086,-4.26333722671824,-2.1635875026447664,151,12.499
11,11,Flexion,150,-4.411409604,-2.039710607,-4.432376825,-1.4148711900229096,-4.3032081850829575,-2.009880881737593,150,12.93
12,12,Flexion,147,-3.536411684,-2.154965031,-4.04701618,-1.5211356839035797,-4.081348561662052,-1.8764073639796024,147,14.223
13,13,Flexion,146,-3.322052684,-2.736727434,-3.744489721,-2.7367274339999996,-3.8561671677259364,-1.7948249664057365,146,14.654
14,14,Flexion,144,-3.011139137,-1.702940941,-3.731998543,-0.9107535642097969,-3.878652463268527,-1.6703447789704466,144,15.516
15,15,Flexion,143,-3.572337992,-2.409021909,-4.297464489,-1.797980634213427,-4.101860231926118,-1.6232111428379163,143,15.947
16,16,Flexion,141,-3.969711666,-2.539599711,-4.362399032,-1.8386263727522536,-4.327393230204179,-1.6906034057229669,141,16.809
17,17,Flexion,140,-4.152481359,-2.397111889,-4.435296,-1.754102149173902,-4.508046069799718,-1.7764754323870438,140,17.24
18,18,Flexion,138,-3.926346358,-1.881594353,-4.582412574,-1.881594353,-4.714419857493539,-1.9667316608649787,138,18.102
19,19,Flexion,137,-4.578402365,-2.517123632,-5.077386369,-1.8826748283160217,-4.893199931064873,-2.30967906852725,137,18.533
20,20,Flexion,136,-4.213688542,-3.448498721,-4.854588188,-3.4484987209999995,-4.893492618448326,-2.5124857001726353,136,18.964
