State,Angle,Motion
Flexion,180,0
Flexion,179,0.431
Flexion,178,0.862
Flexion,177,1.293
Flexion,176,1.724
Flexion,175,2.155
Flexion,174,2.586
Flexion,173,3.017
Flexion,172,3.448
Flexion,171,3.879
Flexion,170,4.31
Flexion,169,4.741
Flexion,168,5.172
Flexion,167,5.603
Flexion,166,6.034
Flexion,165,6.465
Flexion,164,6.896
Flexion,163,7.327
Flexion,162,7.758
Flexion,161,8.189
Flexion,160,8.62
Flexion,159,9.051
Flexion,158,9.482
Flexion,157,9.913
Flexion,156,10.344
Flexion,155,10.775
Flexion,154,11.206
Flexion,153,11.637
Flexion,152,12.068
Flexion,151,12.499
Flexion,150,12.93
Flexion,149,13.361
Flexion,148,13.792
Flexion,147,14.223
Flexion,146,14.654
Flexion,145,15.085
Flexion,144,15.516
Flexion,143,15.947
Flexion,142,16.378
Flexion,141,16.809
Flexion,140,17.24
Flexion,139,17.671
Flexion,138,18.102
Flexion,137,18.533
Flexion,136,18.964
Flexion,135,19.395
Flexion,134,19.826
Flexion,133,20.257
Flexion,132,20.688
Flexion,131,21.119
Flexion,130,21.55
Flexion,129,21.981
Flexion,128,22.412
Flexion,127,22.843
Flexion,126,23.274
Flexion,125,23.705
Flexion,124,24.136
Flexion,123,24.567
Flexion,122,24.998
Flexion,121,25.429
Flexion,120,25.86
Flexion,119,26.291
Flexion,118,26.722
Flexion,117,27.153
Flexion,116,27.584
Flexion,115,28.015
Flexion,114,28.446
Flexion,113,28.877
Flexion,112,29.308
Flexion,111,29.739
Flexion,110,30.17
Flexion,109,30.601
Flexion,108,31.032
Flexion,107,31.463
Flexion,106,31.894
Flexion,105,32.325
Flexion,104,32.756
Flexion,103,33.187
Flexion,102,33.618
Flexion,101,34.049
Flexion,100,34.48
Flexion,99,34.911
Flexion,98,35.342
Flexion,97,35.773
Flexion,96,36.204
Flexion,95,36.635
Flexion,94,37.066
Flexion,93,37.497
Flexion,92,37.928
Flexion,91,38.359
Flexion,90,38.79
Flexion,89,39.221
Flexion,88,39.652
Flexion,87,40.083
Flexion,86,40.514
Flexion,85,40.945
Flexion,84,41.376
Flexion,83,41.807
Flexion,82,42.238
Flexion,81,42.669
Flexion,80,43.1
Flexion,79,43.531
Flexion,78,43.962
Flexion,77,44.393
Flexion,76,44.824
Flexion,75,45.255
Flexion,74,45.686
Flexion,73,46.117
Flexion,72,46.548
Flexion,71,46.979
Flexion,70,47.41
Flexion,69,47.841
Flexion,68,48.272
Flexion,67,48.703
Flexion,66,49.134
Flexion,65,49.565
Flexion,64,49.996
Flexion,63,50
Flexion,62,50
Flexion,61,50
Flexion,60,50
Flexion,59,50
Flexion,58,50
Flexion,57,50
Flexion,56,50
Flexion,55,50
Flexion,54,50
Flexion,53,50
Flexion,52,50
Extension,52,50
Extension,53,50
Extension,54,50
Extension,55,50
Extension,56,50
Extension,57,50
Extension,58,50
Extension,59,50
Extension,60,50
Extension,61,50
Extension,62,50
Extension,63,50
Extension,64,50.427
Extension,65,50.858
Extension,66,51.289
Extension,67,51.72
Extension,68,52.151
Extension,69,52.582
Extension,70,53.013
Extension,71,53.444
Extension,72,53.875
Extension,73,54.306
Extension,74,54.737
Extension,75,55.168
Extension,76,55.599
Extension,77,56.03
Extension,78,56.461
Extension,79,56.892
Extension,80,57.323
Extension,81,57.754
Extension,82,58.185
Extension,83,58.616
Extension,84,59.047
Extension,85,59.478
Extension,86,59.909
Extension,87,60.34
Extension,88,60.771
Extension,89,61.202
Extension,90,61.633
Extension,91,62.064
Extension,92,62.495
Extension,93,62.926
Extension,94,63.357
Extension,95,63.788
Extension,96,64.219
Extension,97,64.65
Extension,98,65.081
Extension,99,65.512
Extension,100,65.943
Extension,101,66.374
Extension,102,66.805
Extension,103,67.236
Extension,104,67.667
Extension,105,68.098
Extension,106,68.529
Extension,107,68.96
Extension,108,69.391
Extension,109,69.822
Extension,110,70.253
Extension,111,70.684
Extension,112,71.115
Extension,113,71.546
Extension,114,71.977
Extension,115,72.408
Extension,116,72.839
Extension,117,73.27
Extension,118,73.701
Extension,119,74.132
Extension,120,74.563
Extension,121,74.994
Extension,122,75.425
Extension,123,75.856
Extension,124,76.287
Extension,125,76.718
Extension,126,77.149
Extension,127,77.58
Extension,128,78.011
Extension,129,78.442
Extension,130,78.873
Extension,131,79.304
Extension,132,79.735
Extension,133,80.166
Extension,134,80.597
Extension,135,81.028
Extension,136,81.459
Extension,137,81.89
Extension,138,82.321
Extension,139,82.752
Extension,140,83.183
Extension,141,83.614
Extension,142,84.045
Extension,143,84.476
Extension,144,84.907
Extension,145,85.338
Extension,146,85.769
Extension,147,86.2
Extension,148,86.631
Extension,149,87.062
Extension,150,87.493
Extension,151,87.924
Extension,152,88.355
Extension,153,88.786
Extension,154,89.217
Extension,155,89.648
Extension,156,90.079
Extension,157,90.51
Extension,158,90.941
Extension,159,91.372
Extension,160,91.803
Extension,161,92.234
Extension,162,92.665
Extension,163,93.096
Extension,164,93.527
Extension,165,93.958
Extension,166,94.389
Extension,167,94.82
Extension,168,95.251
Extension,169,95.682
Extension,170,96.113
Extension,171,96.544
Extension,172,96.975
Extension,173,97.406
Extension,174,97.837
Extension,175,98.268
Extension,176,98.699
Extension,177,99.13
Extension,178,99.561
Extension,179,99.992
Extension,180,100.423
